LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
27m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-1 Pod webnote-1 in StatefulSet webnote success
27m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-1   waiting for first consumer to be created before binding
27m         Normal    Provisioning            persistentvolumeclaim/content-webnote-1   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-1"
27m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-1   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
27m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-1   Successfully provisioned volume pvc-efa2e086-fd57-44ac-ab39-e68957c9952c
27m         Normal    Created                 pod/webnote-1                             Container created
27m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
27m         Normal    Started                 pod/webnote-1                             Container started
27m         Normal    Scheduled               pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
27m         Normal    Pulling                 pod/webnote-1                             Pulling image "nginx:1.30-alpine"
27m         Normal    Pulled                  pod/webnote-1                             Successfully pulled image "nginx:1.30-alpine" in 27.411s (27.411s including waiting). Image size: 28746131 bytes.
27m         Normal    Created                 pod/webnote-1                             Container created
27m         Normal    Started                 pod/webnote-1                             Container started
27m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-2   waiting for first consumer to be created before binding
27m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-2   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
27m         Normal    Provisioning            persistentvolumeclaim/content-webnote-2   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-2"
27m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-2 Pod webnote-2 in StatefulSet webnote success
27m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-2   Successfully provisioned volume pvc-9c0ac848-7312-4591-92ef-b249923cf138
27m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
27m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
27m         Normal    Started                 pod/webnote-2                             Container started
27m         Normal    Created                 pod/webnote-2                             Container created
27m         Normal    Started                 pod/webnote-2                             Container started
27m         Normal    Created                 pod/webnote-2                             Container created
27m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-1
23m         Normal    Scheduled               pod/client                                Successfully assigned dso202-practical-02/client to worker-node-2
23m         Normal    Started                 pod/client                                Container started
23m         Normal    Pulled                  pod/client                                Container image "busybox:1.37" already present on machine and can be accessed by the pod
23m         Normal    Created                 pod/client                                Container created
20m         Normal    Killing                 pod/webnote-1                             Stopping container nginx
20m         Normal    Scheduled               pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
20m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-1 in StatefulSet webnote successful
20m         Normal    Created                 pod/webnote-1                             Container created
20m         Normal    Created                 pod/webnote-1                             Container created
20m         Normal    Pulled                  pod/webnote-1                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
20m         Normal    Started                 pod/webnote-1                             Container started
20m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
20m         Normal    Started                 pod/webnote-1                             Container started
19m         Normal    Provisioning            persistentvolumeclaim/content-webnote-3   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-3"
19m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-3 in StatefulSet webnote successful
19m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-3 Pod webnote-3 in StatefulSet webnote success
19m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-3   waiting for first consumer to be created before binding
19m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-3   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
19m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-3   Successfully provisioned volume pvc-eb77bc2c-9ed6-42ff-ab85-78563cb7f00e
19m         Normal    Created                 pod/webnote-3                             Container created
19m         Normal    Started                 pod/webnote-3                             Container started
19m         Normal    Scheduled               pod/webnote-3                             Successfully assigned dso202-practical-02/webnote-3 to worker-node-2
19m         Normal    Pulled                  pod/webnote-3                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
19m         Normal    Created                 pod/webnote-3                             Container created
19m         Normal    Started                 pod/webnote-3                             Container started
19m         Normal    Pulled                  pod/webnote-3                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
17m         Normal    Killing                 pod/webnote-3                             Stopping container nginx
17m         Normal    Killing                 pod/webnote-2                             Stopping container nginx
17m         Normal    SuccessfulDelete        statefulset/webnote                       Delete Pod webnote-3 in StatefulSet webnote successful
17m         Normal    SuccessfulDelete        statefulset/webnote                       Delete Pod webnote-2 in StatefulSet webnote successful
16m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-2 in StatefulSet webnote successful
16m         Normal    Started                 pod/webnote-2                             Container started
16m         Normal    Created                 pod/webnote-2                             Container created
16m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
16m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-1
16m         Normal    Created                 pod/webnote-2                             Container created
16m         Normal    Started                 pod/webnote-2                             Container started
16m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
13m         Normal    Killing                 pod/webnote-0                             Stopping container nginx
13m         Normal    Killing                 pod/webnote-1                             Stopping container nginx
13m         Normal    Killing                 pod/webnote-2                             Stopping container nginx
12m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-0 in StatefulSet webnote successful
12m         Normal    Pulled                  pod/webnote-0                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
12m         Normal    Started                 pod/webnote-0                             Container started
12m         Normal    Scheduled               pod/webnote-0                             Successfully assigned dso202-practical-02/webnote-0 to worker-node-2
12m         Normal    Created                 pod/webnote-0                             Container created
12m         Normal    Created                 pod/webnote-0                             Container created
12m         Normal    Pulled                  pod/webnote-0                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
12m         Normal    Started                 pod/webnote-0                             Container started
12m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
12m         Normal    Created                 pod/webnote-1                             Container created
12m         Normal    Started                 pod/webnote-1                             Container started
12m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-1 in StatefulSet webnote successful
12m         Normal    Scheduled               pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
12m         Normal    Pulled                  pod/webnote-1                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
12m         Normal    Created                 pod/webnote-1                             Container created
12m         Normal    Started                 pod/webnote-1                             Container started
11m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-1
11m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
11m         Normal    Created                 pod/webnote-2                             Container created
11m         Normal    Started                 pod/webnote-2                             Container started
11m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-2 in StatefulSet webnote successful
11m         Normal    Created                 pod/webnote-2                             Container created
11m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
11m         Normal    Started                 pod/webnote-2                             Container started
7m59s       Normal    WaitForFirstConsumer    persistentvolumeclaim/data-postgres-0     waiting for first consumer to be created before binding
7m59s       Normal    ExternalProvisioning    persistentvolumeclaim/data-postgres-0     Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
7m59s       Normal    Provisioning            persistentvolumeclaim/data-postgres-0     External provisioner is provisioning volume for claim "dso202-practical-02/data-postgres-0"
7m59s       Normal    SuccessfulCreate        statefulset/postgres                      Create Claim data-postgres-0 Pod postgres-0 in StatefulSet postgres success
7m56s       Normal    ProvisioningSucceeded   persistentvolumeclaim/data-postgres-0     Successfully provisioned volume pvc-53c06404-08d6-48ff-af4d-49deeefeb7bb
7m55s       Normal    Pulling                 pod/postgres-0                            Pulling image "postgres:18-alpine"
7m55s       Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
6m59s       Normal    Pulled                  pod/postgres-0                            Successfully pulled image "postgres:18-alpine" in 56.166s (56.166s including waiting). Image size: 117891692 bytes.
6m58s       Normal    Created                 pod/postgres-0                            Container created
6m58s       Normal    Started                 pod/postgres-0                            Container started
3m47s       Normal    SuccessfulCreate        statefulset/postgres                      Create Pod postgres-0 in StatefulSet postgres successful
3m47s       Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-2
3m47s       Normal    Killing                 pod/postgres-0                            Stopping container postgres
3m46s       Normal    Pulled                  pod/postgres-0                            Container image "postgres:18-alpine" already present on machine and can be accessed by the pod
3m46s       Normal    Created                 pod/postgres-0                            Container created
3m46s       Normal    Started                 pod/postgres-0                            Container started
